firm_name,url,yf_ticker
adani enterprises,https://groww.in/stocks/adani-enterprises-ltd/market-news,ADANIENT.NS
jsw,https://groww.in/stocks/jsw-steel-ltd/market-news,JSWSTEEL.NS
wipro,https://groww.in/stocks/wipro-ltd/market-news,WIPRO.NS
tata motors,https://groww.in/stocks/tata-motors-ltd/market-news,TATAMOTORS.NS
asian paints,https://groww.in/stocks/asian-paints-ltd/market-news,ASIANPAINT.NS
coal india,https://groww.in/stocks/coal-india-ltd/market-news,COALINDIA.NS
nestle,https://groww.in/stocks/nestle-india-ltd/market-news,NESTLEIND.NS
reliance industries ltd,https://groww.in/stocks/reliance-industries-ltd/market-news,RELIANCE.NS
hdfc bank ltd,https://groww.in/stocks/hdfc-bank-ltd/market-news,HDB
bharti airtel ltd,https://groww.in/stocks/bharti-airtel-ltd/market-news,BHARTIARTL.NS
tata consultancy services ltd,https://groww.in/stocks/tata-consultancy-services-ltd/market-news,TCS.NS
icici bank ltd,https://groww.in/stocks/icici-bank-ltd/market-news,IBN
state bank of india,https://groww.in/stocks/state-bank-of-india/market-news,SBIN.NS
hindustan unilever,https://groww.in/stocks/hindustan-unilever-ltd/market-news,HINDUNILVR.NS
infosys ltd,https://groww.in/stocks/infosys-ltd/market-news,INFY.NS
bajaj finance ltd,https://groww.in/stocks/bajaj-finance-ltd/market-news,BAJFINANCE.NS
life insurance corporation of india,https://groww.in/stocks/life-insurance-corporation-of-india/market-news,LICI.NS
itc ltd,https://groww.in/stocks/itc-ltd/market-news,ITC.NS
larsen turbo ltd,https://groww.in/stocks/larsen-toubro-ltd/market-news,LT.NS
mahindra ltd,https://groww.in/stocks/mahindra-mahindra-ltd/market-news,M&M.NS
hcl technologies,https://groww.in/stocks/hcl-technologies-ltd/market-news,HCLTECH.NS
kotak mahindra bank ltd,https://groww.in/stocks/kotak-mahindra-bank-ltd/market-news,KOTAKBANK.NS
sun pharamaceutical industries ltd,https://groww.in/stocks/sun-pharmaceutical-industries-ltd/market-news,SUNPHARMA.NS
axis bank ltd,https://groww.in/stocks/axis-bank-ltd/market-news,AXISBANK.NS
titan company ltd,https://groww.in/stocks/titan-company-ltd/market-news,TITAN.NS
avenue supermarts ltd,https://groww.in/stocks/avenue-supermarts-ltd/market-news,DMART.NS
ongc ,https://groww.in/stocks/oil-natural-gas-corporation-ltd/market-news,ONGC.NS
hindustan aeronautics,https://groww.in/stocks/hindustan-aeronautics-ltd/market-news,HAL.NS
bharat electronics,https://groww.in/stocks/bharat-electronics-ltd/market-news,BEL.NS
